Model,Acc Mean,Acc Std,F1 Mean,F1 Std
Decision Tree,0.6047619047619048,0.231136401895459,0.5622222222222223,0.261769854624484
Logistic Regression,0.4142857142857143,0.14646244284980664,0.3892063492063492,0.1613666750902429
Random Forest,0.4095238095238095,0.1852864424604164,0.3644444444444444,0.19668863656318944
KNN (k=5),0.38095238095238093,0.14206127514453615,0.34222222222222215,0.16290571384987781
XGBoost,0.38095238095238093,0.14206127514453615,0.32285714285714284,0.15938784381773197
SVM (RBF),0.3761904761904762,0.2094155564504383,0.2920634920634921,0.2227544646562969
Naive Bayes,0.2857142857142857,0.1813279310919978,0.29111111111111115,0.181407392284076
